date,daily_rmssd,deep_rmssd
2025-11-28,34.243,42.332
2025-11-29,36.993,31.431
2025-11-30,26.259,26.536
2025-12-01,39.974,30.437
2025-12-02,35.585,40.699
2025-12-03,42.941,35.312
2025-12-04,41.795,35.027
2025-12-05,36.605,46.238
2025-12-06,39.855,42.528
2025-12-07,34.442,36.546
2025-12-08,33.165,29.789
2025-12-09,31.248,23.942
2025-12-10,36.372,35.217
2025-12-11,35.025,31.975
2025-12-12,44.294,50.469
2025-12-13,39.636,36.463
2025-12-14,32.31,36.006
2025-12-15,29.815,30.195
2025-12-16,38.202,29.922
2025-12-17,30.118,34.913
2025-12-18,36.327,34.73
2025-12-19,39.709,37.147
2025-12-20,38.405,36.154
2025-12-21,40.156,35.747
2025-12-22,51.872,51.945
2025-12-23,36.399,41.156
2025-12-24,46.895,41.751
2025-12-25,41.034,32.775
2025-12-26,44.699,42.306
2025-12-27,34.544,40.672
2025-12-28,32.791,41.336
2025-12-29,41.805,44.479
2025-12-30,42.91,34.904
2025-12-31,29.09,31.628
2026-01-01,26.422,21.105
2026-01-02,36.796,33.855
2026-01-03,37.049,34.597
