date,title,start_time,end_time,duration_minutes,exercise_count,total_reps,total_sets,total_volume_kg
2026-01-17,チョコザップ,"17 Jan 2026, 15:04","17 Jan 2026, 15:28",24,5,186,15,8680
2026-01-16,チョコザップ,"16 Jan 2026, 15:41","16 Jan 2026, 16:11",30,6,257,18,14480
2026-01-15,チョコザップ,"15 Jan 2026, 13:52","15 Jan 2026, 14:26",34,6,239,18,12741
2026-01-13,チョコザップ,"13 Jan 2026, 14:39","13 Jan 2026, 15:10",31,6,250,18,13029
2026-01-12,チョコザップ,"12 Jan 2026, 15:28","12 Jan 2026, 15:58",30,6,266,18,13955
2026-01-10,チョコザップ,"10 Jan 2026, 14:59","10 Jan 2026, 15:32",33,6,259,18,13780
2026-01-09,チョコザップ,"9 Jan 2026, 15:45","9 Jan 2026, 16:13",28,6,252,18,13355
2026-01-08,チョコザップ,"8 Jan 2026, 15:50","8 Jan 2026, 16:24",34,6,239,18,12130
2026-01-07,チョコザップ,"7 Jan 2026, 16:49","7 Jan 2026, 17:07",18,3,121,9,6955
2026-01-05,チョコザップ,"5 Jan 2026, 15:33","5 Jan 2026, 15:49",16,3,125,9,5325
2025-12-25,チョコザップ,"25 Dec 2025, 15:07","25 Dec 2025, 15:32",25,3,155,9,6705
2025-12-24,チョコザップ,"24 Dec 2025, 13:57","24 Dec 2025, 14:34",37,6,272,18,14580
2025-12-22,チョコザップ,"22 Dec 2025, 13:42","22 Dec 2025, 14:19",37,6,258,18,13390
2025-12-20,チョコザップ,"20 Dec 2025, 14:47","20 Dec 2025, 15:23",36,6,283,18,14820
2025-12-19,チョコザップ,"19 Dec 2025, 14:46","19 Dec 2025, 15:18",32,6,258,18,13240
2025-12-18,チョコザップ,"18 Dec 2025, 15:24","18 Dec 2025, 15:52",28,6,248,18,13215
2025-12-17,チョコザップ,"17 Dec 2025, 14:10","17 Dec 2025, 14:43",33,6,237,18,12360
2025-12-15,チョコザップ,"15 Dec 2025, 13:07","15 Dec 2025, 13:32",25,6,248,18,13450
2025-12-13,午後のトレーニング💪,"13 Dec 2025, 15:11","13 Dec 2025, 15:43",32,6,264,18,12655
2025-12-12,午後のトレーニング💪,"12 Dec 2025, 13:44","12 Dec 2025, 14:10",26,4,161,11,6670
2025-12-11,深夜のトレーニング🌙,"11 Dec 2025, 15:34","11 Dec 2025, 15:49",15,3,135,9,6525
