timestamp,duration_min,fm_theta_mean,fm_theta_best,iaf_mean,iaf_best,alpha_mean,alpha_best,beta_mean,beta_best,theta_alpha_mean,theta_alpha_best
2025-11-20 16:30:01,19.32,0.14,0.49,8.60,8.75,4.81,4.98,-4.38,-4.68,0.24,0.29
2025-11-21 6:33:47,29.139,0.59,1.94,8.75,8.88,2.44,4.85,-3.56,-5.06,0.82,2.87
2025-11-24 9:52:13,14.13,0.27,0.37,8.72,8.88,3.95,4.40,-5.02,-5.47,0.79,1.09
2025-11-25 7:34:58,14.064,0.18,0.68,8.94,9.13,3.29,3.59,-6.32,-6.71,0.39,0.48
2025-11-25 15:59:08,10.633,1.04,1.52,9.96,12.38,5.51,5.83,-1.04,-1.97,0.23,0.25
2025-11-26 7:54:52,14.159,0.44,0.70,8.75,8.88,3.44,3.75,-5.75,-6.44,0.87,1.21
2025-11-27 8:10:54,19.206,0.45,0.90,8.69,8.88,3.06,3.59,-6.27,-6.64,0.74,1.28
2025-11-28 7:24:07,26.357,0.21,0.31,8.69,8.88,1.61,2.33,-6.79,-7.80,0.55,0.73
2025-11-29 7:28:17,39.066,0.65,1.00,8.69,8.88,3.48,3.65,-5.44,-6.93,0.69,0.95
2025-11-30 6:15:09,17.902,2.21,4.38,8.60,8.63,3.27,4.77,-6.44,-8.19,0.87,1.19
2025-12-01 7:49:40,23.911,0.01,0.02,8.66,8.75,4.53,5.18,-0.93,-1.27,0.36,0.45
2025-12-01 22:48:14,13.603,0.14,0.18,8.75,8.88,2.25,2.62,-4.20,-4.62,0.37,0.34
2025-12-02 7:30:34,29.551,0.22,0.27,8.65,8.88,3.70,4.50,-3.95,-4.34,0.45,0.55
2025-12-03 7:44:25,33.381,1.83,3.33,8.64,8.88,3.38,3.74,-4.08,-4.97,1.06,1.55
2025-12-04 7:40:03,29.894,0.60,0.88,10.08,12.50,4.45,5.41,-4.64,-6.58,0.23,0.36
2025-12-05 7:35:28,30.557,1.75,2.21,8.64,8.75,3.57,4.09,-4.59,-6.56,0.81,1.22
2025-12-06 6:24:12,36.76,0.13,0.77,8.67,8.75,3.19,4.51,-7.42,-8.51,0.50,1.57
2025-12-08 7:39:33,30.131,2.42,6.03,8.71,8.88,5.74,8.50,-3.70,-6.51,1.28,2.91
2025-12-09 7:26:30,34.907,-1.27,-1.25,8.71,8.75,3.14,3.63,-7.71,-9.15,0.49,0.63
